GLOBAL_UID,FID,Tech_UID,techName,Event,eventStartDate,eventEndDate,comment,eventType,Impact,Likelihood,References
10,2,1,Touch-interactive Large Objects,ID verification via touch,2025,2030,"Approaches incorporating object recognition and possibly bioelectric impedance, could allow users to be identified simply by data ascertained by their touch of large screens or objects. This could enable the development of large screens which present bespoke information to users on touch or equipment that only works when its owner is holding it (e.g. firearms).",Defence Implication,High,Low,
11,2,2,Touch-interactive Large Objects,Large touchscreens use 3D imagery,2035,2040,"Large horizontal touchscreens could be integrated with 3D imagery to present interactive 3D displays. These could be used to show terrain or mapping in 3D, which could be manipulated by touch (e.g. changing the view orientation or scale). Such display tables could have a number of operational applications such as supporting military planning and the emergency services.",Integration,High,Low,
12,2,3,Touch-interactive Large Objects,Touchwalls become common in offices,2028,2034,"Large vertical touchwalls could be installed in many offices to facilitate collaborative working. These screens could be transparent when not used (e.g. internal windows) but become opaque when being used. Such touchwalls would probably be capable of either presenting one large image or be capable of being broken down into lots of different smaller images, like an array of screens. These walls would be ideal for use in presentations or workshops.",Societal Adoption,Low,Medium,
13,2,4,Touch-interactive Large Objects,Projected touch displays developed,2026,2032,"Large projected images that reliably accept touch as an information input could be commercially developed. This technology would build on some of the prototype touch projectors being developed, and deliver a flexible touch display, the size of which could be easily adjusted. This could increase the robustness and portability of large collaborative touch surfaces, because there would be no risk of damage to the screen (e.g. it can't be scratched by users) and there would be no requirement to transport a large screen (the limiting factor would be the size of the projector).",Production,Medium,High,
14,2,5,Touch-interactive Large Objects,Irregular 3D surfaces touch enabled,2033,2038,"The ability to make any object touch-enabled could be developed through the integration of new materials which allow touch sensors to be applied as a film to the surface of an object. This could reach the stage where the cost of doing this would be relatively trivial and the film is fairly robust and damage resistant. Many low cost devices (e.g. domestic appliances and children's toys) could incorporate this film and the capability to process its input. This might dispense with the requirement for many common interface features such as buttons, switches and dials.",Technology Development,Medium,Low,
15,2,6,Touch-interactive Large Objects,Large touch objects become ubiquitous,2023,2030,"Large touch objects may be adopted across many commercial settings, seeing a substantial acceleration of the trend to incorporate them into fast food outlets. This could see many human-to-human transactional activities, such as paying for items in a shop, replaced by consumers engaging with large touchscreens or displays. Issues to do with touch and hygiene would need to be addressed - possibly, near touch technologies would be incorporated into these interfaces.",Societal Adoption,Medium,High,
16,3,0,Gesture and Movement Sensors,Gesture sensing used with AR and VR,2022,2026,"Gesture sensing is incorporated into AR and VR technologies, allowing the movements of the user to be read and represented in the virtual environment.",Integration,High,Medium,
17,3,1,Gesture and Movement Sensors,Significantly improved depth sensing,2022,2025,"Underlying approaches such as 'time of flight' analysis, structured light patterning and stereoscopic vision offer the opportunity to dramatically improve the fidelity of depth sensing and reduce its cost. This in turn could act as a catalyst for much more sophisticated gesture and movement sensing.",Technology Development,High,Medium,
18,3,2,Gesture and Movement Sensors,Gaming systems incorporate gesture sensing,2024,2028,"Commercial gaming systems may be developed where gestures or real movements are incorporated into the gameplay, with characters accurately copying user actions, without the requirement for wands or controllers.",Production,Medium,Low,
19,3,3,Gesture and Movement Sensors,Gesture widely used for simple machine control,2023,2028,"Simple control of machines and equipment using physical gestures become used more widely. For example, opening doors or turning on a piece of equipment. It may become possible to analyse discrete movements in such a way which allows identity to be verified to very high degrees of confidence. Gesture signatures could also, therefore, be used to fulfil functions such as unlocking doors.",Technology Development,Low,Low,
20,3,4,Gesture and Movement Sensors,Accurate gait analysis used in identity management,2025,2030,Technologies that are able to identify the unique features of an individual's gait could be used within building management or intrusion detection systems.,Technology Development,Medium,Low,
21,3,5,Gesture and Movement Sensors,A universal lexicon of gestures is developed,2028,2035,"A number of large scale physical gestures are developed that are adopted across different applications, similar to double clicking with a mouse or the zoom gesture on touchscreens.",Societal Adoption,Low,Medium,
22,3,6,Gesture and Movement Sensors,Defence equipment fitted with gesture sensors,2035,2040,Various defence equipment is enabled with gesture reading sensors to allow silent commands to be issued via hand signals (e.g. the directing of nano drones for tactical surveillance).,Defence Implication,Low,Low,
23,3,7,Gesture and Movement Sensors,AI can read body language,2037,2040,"AI interpretation of physical gestures becomes sufficiently advanced that it equals, or even supersedes, a human's ability to 'read' body language. AI assistants are able to analyse non-verbal cues and utilise this information to deliver their services.",Technology Development,High,Medium,
24,3,8,Gesture and Movement Sensors,Sensors read multiple users' gestures simultaneously,2037,2039,"Gesture sensors become capable of reading multiple individuals' gestures simultaneously, recognising the identity of those making the gestures and interpreting the commands issued accordingly.",Technology Development,Medium,High,
25,3,9,Gesture and Movement Sensors,Gesture and movement sensors begin to analyse intent,2038,2040,"As reading the movements, gestures and physical posture of groups of individuals becomes possible, predictive analytics are used to anticipate the behaviour of people, making probabilistic judgements about whether they might be hostile or whether their mood is changing as a group.",Defence Implication,High,Low,
26,7,0,Image Recognition Cameras,Super resolution massively improves imaging quality,2025,2029,"Processing of multiple images, either taken from separate devices or from multiple cameras in the same device, will enable previously poor quality images to be reconstructed routinely as much higher definition images. Deep learning approaches may enable poor quality images taken under poor image capture conditions to be reconstructed as high definition reimagined images, facilitating image recognition under a much wider range of contextual settings.",Technology Development,High,Medium,
27,7,1,Image Recognition Cameras,Facial recognition becomes most common way of verifying identity,2023,2027,Machine-based facial recognition is widely adopted as the gold standard for verifying ID in situations where the individual is physically present or has a device with them. This has a profound impact on the requirement for identity documentation.,Societal Adoption,High,Low,
28,7,2,Image Recognition Cameras,Legal regulation of facial recognition toughens,2025,2030,"Legal restrictions are imposed on the use of facial recognition technologies in many Western democracies (particularly the EU), whereas its use by government and industry is much less limited in more authoritarian countries. Strict codes are drawn up prohibiting non-consensual use of the technology across Europe and the US, extending existing biometric data protection laws.",Legal/Ethical,High,Medium,
29,7,3,Image Recognition Cameras,General machine recognition surpasses human ability,2028,2032,Deep learning approaches to image analysis mean that machine image recognition becomes better than human abilities in most general settings.,Technology Development,High,Low,
30,7,4,Image Recognition Cameras,Analysis enables accurate mood analysis,2029,2033,Reading of human emotions through analysis of facial expressions by machines becomes significantly more reliable. This means that personal assistants will be able to interpret the mood of their users and tailor services accordingly.,Technology Development,Medium,Medium,
31,7,5,Image Recognition Cameras,Image recognition provides reliable threat detection,2032,2035,Systems that allow a wide variety of threats (human-based and from other sources) to be detected in diverse and complex contexts (e.g. busy urban environments) become reliable enough to be trusted instead of human lookouts.,Defence Implication,Medium,Low,
32,7,6,Image Recognition Cameras,Interpretation of diagnostic imaging entirely automated,2025,2035,"Almost all high stakes imagery analysis in fields like medical imaging, mechanical diagnostics and physical exploration removes the human expert from the process. Due to advances in the reliability of the analysis humans could become seen as an inferior option for such tasks.",Societal Adoption,Medium,High,
33,7,7,Image Recognition Cameras,Image recognition facilitates richer AR experiences,2026,2030,Improved image recognition allows AR applications to develop a much better picture of what is present in the real world and to create experiences which blend with this environment.,Integration,Low,High,
34,4,0,Handheld Controllers,Handheld scanners used for health checks,2021,2029,"Handheld devices could be much more widely utilised by people at home, and could assist with telemedicare, virtual doctor consultations or general healthcare awareness. Devices can already record body stats, reading temperature, blood pressure and breathing capacity. Advancements in other readings could include handheld image scans for diagnostic purposes.",Technology Development,Low,Low,
35,4,1,Handheld Controllers,Devices used widely in a medical setting,2022,2030,"Handheld devices could be used by medical practitioners, including devices that can sanitise areas and objects and then provide assessments of their hygiene. Portable X-Ray scanners could also be used by practitioners when visiting patients in their home, alleviating pressures on hospital and dental resources.",Technology Development,Medium,Low,
36,4,2,Handheld Controllers,Modernised GPS handheld devices,2023,2025,"The requirement to improve GPS capabilities is likely to drive advances. The main functional requirements include reducing the size and power consumption, improving usability and the longevity of the device in a single session. Military requirements include greater consumption of code, e.g. detailing targets and degree of accuracy, as well as anti-jamming and anti-spoofing capabilities.",Defence Implication,High,Medium,
37,4,3,Handheld Controllers,Devices developed for critical industries,2025,2028,"The use of handheld devices in the workplace could increase, particularly devices that provide sensory readings or feedback loops. For example, critical infrastructure environments that need sensors to provide readings in real-time. Nuclear power stations, other energy providers and transportation stakeholders will wish to consolidate these readings into large data warehouses,with response teams allocated accordingly. Devices will need to be damage-resistant and have solid-state-drives (SSDs) to ensure that data integrity is maintained.",Technology Development,High,Medium,
38,4,4,Handheld Controllers,Ubiquity of devices in supply chains,2022,2025,"In order to reduce wastage, optimise manufacturing turn-around times and ensure safety/quality checks, handheld devices will become even more common in supply chains. Devices that can provide readings on targets, using statistics pulled from large data warehouses are likely to become increasingly common. Centrally managed data systems should feed information in real-time, streamlining production and manufacturing chains.",Integration,Low,Medium,
39,4,5,Handheld Controllers,IoT devices for household energy or security settings,2021,2023,"Handheld devices that enable homeowners to control household settings, including light, heating and security devices could become much more commonplace. Household equipment would need to be configured to receive and process requests from the handheld devices via the internet.",Technology Development,Low,Medium,
40,4,6,Handheld Controllers,IoT devices for financial transaction,2025,2030,Payment dockers that can scan chips embedded in the hand are likely to be used to reduce attempts of card fraud and identity theft. This will be dependent on the development of chips with very low rejection rates and also on societal adoption.,Societal Adoption,Medium,Low,
41,5,0,Keyboard and Text Input Devices,Simulated keyboards and VR systems,2026,2031,"The combination of VR headsets with video projectors could enable users to use holographic keyboards, removing the requirement for a physical keyboard device. This requires advancements between data exchange between VR headsets and projectors, to ensure that the user interactions are captured in real-time with low latency.",Integration,Low,Medium,
42,5,1,Keyboard and Text Input Devices,Interactive keyboards with autocorrect and predictive text functions,2021,2023,"There have been considerable advancements in software applications for autocorrect and predictive text functions, but this could be extended to simulated keyboards (holographic, gesture and other forms of movement).Predictive models would have to consider a wide range of input parameters, including multilingual texts, character usage, colloquial phrases and common abbreviations. Feedback mechanisms to improve this feature would be required from the user.",Integration,Low,Low,
43,5,2,Keyboard and Text Input Devices,Machine-learning keyboards and voice support,2022,2028,"Machine learning (ML) algorithms would require large database systems and models would have to be robust to provide high accuracy levels. The user could guide the keyboard to input, to correct and to format the text via voice commands. This would require the keyboard to have a microphone functionality using Natural Language Processing (NLP) techniques. Currently, these are not as reliable in accurately processing speech and there are use cases for improving the technology further.",Technology Development,Medium,Medium,
44,5,3,Keyboard and Text Input Devices,Gesture control and touchscreen keyboards,2027,2034,"Keyboards with movement sensors could process text inputs with gestures using a visual dashboard, whiteboard or general screen. For users that have a hand impairment, the use of gesture control would be extremely useful. For general users the convenience of using gestures could save time compared to manual text inputs.",Technology Development,Medium,Low,
45,5,4,Keyboard and Text Input Devices,Ergonomic rotational keyboard touch pads,2024,2029,"Keyboards with rotational movements have been developed and are an alternative to the traditional keyboard layout. The user must rotate two mouse-like devices that are separated on two mats. By rotating clockwise or anti-clockwise the user is provided with an interface that displays the selected letters and characters, by clicking the mouse the selection of a character is confirmed. The usability of these devices could increase, boosting their adoption.",Production,Low,Low,
46,5,5,Keyboard and Text Input Devices,Hologram technology advancement,2030,2035,"Simulated keyboards would use holographic video or image projectors. The advancement of 4D holograms would improve the user experience by simulating a real keyboard. Additionally, using simulated keyboards would reduce desk space and wastage of resources as a physical device is no longer required. Improvements to the image projector technology and to the method in which text inputs are captured from users will be required.",Technology Development,High,Low,
47,5,6,Keyboard and Text Input Devices,Security features to combat compromise risks,2021,2025,"Any technologically enhanced keyboard has the risk of becoming compromised. The risks are greater with keyboards as they are the standard approach for enabling text inputs into machines. Users are reliant on keyboards to verify their identity, to access systems and to use services on a given machine. Cyber adversaries may take advantage of the keyboards that have enhanced connectivity by remotely accessing them. Additionally, keystroke attacks could monitor and match the patterns of the keyboard by the user. Other attacks could be developed to exploit the underlying Machine Learning (ML) algorithms that are used in predictive texting. These security risks should be considered in the design stage for keyboards or text-input devices.",Legal/Ethical,High,Low,
48,5,7,Keyboard and Text Input Devices,Rugged flexible keyboards in combat,2023,2028,"Rugged, flexible keyboards could be used in military settings as a back-up system if other communication systems fail or are destroyed in combat. Wearable armbands could enable the user to input their location, request back-up or send an SOS signal and provide critical status updates on missions or casualties. These devices could be constructed from pliable materials.",Defence Implication,Medium,Medium,
49,6,0,Drawing or Writing Implements,Digital pens and impaired hand movement,2025,2028,"Users that have impaired hand movements, such as those suffering from a stroke or Parkinsons, could benefit from digital pens that can correctly identify handwriting strokes from the movement in the hand. Currently there are plans to develop pens that can be used as an early warning indicator system for the development of Parkinson's disease or other neurological diseases. Digital pens would require sensors to capture both the hand and wrist movements.",Technology Development,Low,Low,
50,6,1,Drawing or Writing Implements,Interactive notepads and whiteboards,2021,2025,"Currently, interactive whiteboards are used in classroom and business settings. Tablets act like notepads with drawing and writing applications that can be used with interactive pens. Advancements for interactive notepads and whiteboards include capturing notes as still images and importing as post-it notes or editable notes.",Technology Development,Low,Low,
51,6,2,Drawing or Writing Implements,Cheap lightweight 'e-paper' that uses graphene,2023,2028,"The discovery of graphene has fuelled the development of e-paper prototypes and has advanced current e-notebooks and e-readers. Graphene is a carbon material that is well suited for electronic writing or drawing devices. It is extremely strong, with high electrical conductivity, natural mechanical flexibility and enhanced optical displays. Graphene e-paper prototypes are paper-like and can be bent or folded. Graphene is expensive, costing $100 per gram making current prototypes expensive and unmarketable. The reduction in cost of these devices could dramatically increase adoption rates.",Production,High,High,
52,6,3,Drawing or Writing Implements,Remotes or lasers with writing capabilitites,2028,2034,"Users that have impaired hand movements, such as those suffering from a stroke or Parkinson’s, could benefit from remote devices that can draw or write on their behalf, particularly if using an interactive pen is not an option. The remotes or lasers could beam a small and thin light to the display which captures the intended movement.",Societal Adoption,Low,Low,
53,6,4,Drawing or Writing Implements,Object design software for 4D prinitng technology,2031,2036,"4D printing enables 3D printed objects to transform into another structure via the influence of an external energy or stimulus; for example, temperature or light. Users that can draw and design 4D objects, capturing the stages of its physical shape change would advance the production of 4D printing methods.",Technology Development,High,Medium,
54,6,5,Drawing or Writing Implements,Hologram visualisations,2026,2030,"Currently, there are realistic prototypes of cameras that are able to visually record and translate video streams of individuals into live 3D holograms. The design of these systems requires advanced interactive drawing capabilities to enhance the hologram matrix shapes. Users may also benefit from applications enabling their drawings to come to life as holograms, which would require additional equipment to stream and project the image as a hologram in the physical space.",Integration,Medium,Medium,
55,6,6,Drawing or Writing Implements,Enhanced facial recognition for suspect sketch profiles,2025,2030,"Equipment that is used for facial or body profiling of suspects in criminal investigations could be enhanced with facial recognition software. Criminal sketch artists are able to integrate or mould suggested images into their sketch. This could not only save time, but it could also support the successful identification of the suspect, particularly if the algorithm can provide common features or automatically search criminal databases for a suggested match. However, removing inherent biases in the algorithm design would be difficult and controversial if used in a criminal court proceeding.",Legal/Ethical,High,Low,
56,8,0,Eye Tracking Equipment,Eye tracking in retail VR systems adopted,2026,2031,"Shopping and travel experiences via VR headsets could benefit from eye-tracking sensors, to capture users interests. Users may be able to proceed payments via eye movements and use retinal scanning to verify identity. Other commercial use cases could be designing road or building signs, improving architectural and road signage designs by tracking spatial awareness.",Societal Adoption,High,Medium,
57,8,1,Eye Tracking Equipment,Eye tracking in VR systems used for military analytics,2021,2025,"Eye tracking for military use-cases could benefit the design of tactical VR training systems. Metrics based on visual interaction and awareness are crucial for identifying threats, attacking targets and supporting group missions. For example, metrics on the pattern or frequency of eyes identifying a false target would be an important tool to develop the skills of new military personnel.",Defence Implication,High,Low,
58,8,2,Eye Tracking Equipment,Utilised in criminal invesitgation,2027,2035,"In criminal proceedings, eye tracking equipment could be used as evidence against suspects. In military proceedings, any connected visual equipment could be used in a case of crime against humanity or war crimes.",Legal/Ethical,Medium,Low,
59,8,3,Eye Tracking Equipment,Connected and Autonomous Vehicles (CAVs) and road safety,2021,2028,"Video image sensors could be added to CAVs to inform drivers whether a pedestrian is aware of traffic. Eye tracking monitors could identify whether pedestrians have complete or peripheral vision of the vehicle, for instances where the pedestrian is unaware, the vehicle could apply emergency braking to avoid vehicle-related injuries. Additionally, eye tracking software could be used in court against injury liability claims.",Legal/Ethical,High,Medium,
60,8,4,Eye Tracking Equipment,Used within advertising,2028,2033,"With interactive visual screens, eye tracking cameras can monitor attention and reaction to advertisements. With retinal scanning, the identification of pedestrians could be possible, enabling marketers to target the advert to the individual's preferences. Tracking perception on products would improve the design of visuals and variants could be tested against different target groups. Purchasing of items could be conducted with visual confirmation, removing the requirement to input payment data. There are ethical implications and the encroachment on personal privacy with the adoption of eye tracking technology for advertising purposes.",Legal/Ethical,High,Medium,
61,8,5,Eye Tracking Equipment,Commonplace in optometry,2021,2026,"Sensors can provide heat maps that capture the frequency and the length of time focused on a specific image point or feature. Eye tracking sensors must capture the iris movement, map the movement against a specific image and record fluctuations in movement based on subsequent stimulus. For example, the observation of a still object that begins to move and confirmation from the user who wishes to view a different image.",Technology Development,Low,Low,
62,8,6,Eye Tracking Equipment,Interactive screens or contact lenses and glasses,2030,2035,The integration of interactive screens and eye monitoring cameras/sensors is required in the physical space. Users could also wear contact lenses or smart glasses that feedback eye tracking metrics to a central system. There is a requirement for an accurate and streamlined data exchange between the eye tracking sensors and the backend central system.,Integration,Medium,Medium,
63,8,7,Eye Tracking Equipment,Mass data collection and ownership,2021,2038,"Transparency on the methods of storing eye-tracking data would have to be outlined by both the manufacturer and the third-party organisation that uses the technology to provide a specific service. In the case of advertising, EU users would have to consent to data collection as outlined under the General Data Protection Regulation (GDPR), which should be anonymised and where the user has the 'right to be forgotten'. There are concerns that eye tracking could be used as a form of government or organisational surveillance, particularly if eye tracking is used to conduct financial transactions.",Legal/Ethical,Medium,Medium,
64,9,0,Physiological Monitors,Consolidation of metrics,2021,2025,"Dashboard metrics should provide the user (physician or surgeon) with accurate measurements. Algorithms must be able to provide data with considerable precision as any deviations could have consequences on a user or patient. There are many approaches for representing data in a user interface. Designers of these systems would also have to consider how data is stored, updated, retrieved and omitted as part of a large-scale data cleansing process.",Integration,Medium,Medium,
65,9,1,Physiological Monitors,Improving health and safety,2023,2027,"Tactical training, whether physical or simulated would require a physiological monitor to record physical reactions. Monitors can be useful in ensuring that health and safety requirements are met during training sessions. For example, an audible or readable alert system.",Technology Development,Low,High,
66,9,2,Physiological Monitors,Mobile health monitors,2021,2028,"Mobile health monitors would benefit uses in conflicts and remote search and rescue areas, particularly places that are susceptible to natural disasters. Patients that require immediate assistance would benefit from a mobile monitor that could assess the risk of death, internal bleeding or infection. Metrics could assist physicians in decision making of patient care.",Societal Adoption,High,Medium,
67,9,3,Physiological Monitors,Patient security addressed,2025,2030,"Any alterations to the monitoring system as a form of sabotage may be difficult to identify and to track. If the monitors are used for surgical or medicinal use cases, then this could have significant implications for the patient, particularly if there are any deviations of the metrics or baseline measurements. Updates on the monitors and measurement devices should be centrally managed, but would require an internet connection.",Legal/Ethical,High,High,
68,9,4,Physiological Monitors,Holistic monitoring systems developed,2027,2031,"Whole integrated health monitoring systems are likely to be introduced for many people. These systems would use a variety of permanently worn or embedded sensors to provide continual health monitoring for factors such as cardiovascular health, nutrition, optimal activity levels, hormone levels. They could be used by individuals with specific diseases, pregnant women, but increasingly by the general population.",Integration,High,High,
69,9,5,Physiological Monitors,Predictive analytics powering autonomous health interventions,2030,2035,"At some point, it is likely that health analytics will reach a sufficient level of sophistication to enable many medical interventions to be delivered without any human involvement in the decision-making process. The array of data gathered from physiological sensors, combined with predictive analytics approaches could enable medicines to be dispensed before individuals experience any symptoms.",Technology Development,High,Medium,
70,,6,Physiological Monitors,Miniaturisation of monitors,2025,2035,Physiological monitors will probably get smaller and smaller. Disposable monitors that are ingested or injected into the blood stream could become common. This could enable much more granular data to be gathered from humans. The use of temporary and disposable monitoring devices may help to allay many privacy concerns.,Production,Medium,Medium,
71,10,0,Physical Virtual Reality Control Interfaces,Force and touch feedback analysis developed,2025,2030,"Tactile sensing methods could be carried out with 'force' and 'touch' feedback connections with sensor devices. The VR set would provide the visual stimulus and a physical control device measures the level of interaction. Additionally information on interactions could include angle, frequency of repetitive movements, deviations of normal physical behaviour, such as hand and body movements.",Technology Development,High,Medium,
72,10,1,Physical Virtual Reality Control Interfaces,Advanced gaming rigs developed,2021,2028,"Low cost and flexible gaming rigs might be developed that capture lots of different movements (running, jumping, skiing, pedalling). This could be similar to the Peloton bike, but for multiple uses.",Production,High,Low,
73,10,2,Physical Virtual Reality Control Interfaces,Physical interfaces used in rehabilitation,2024,2029,"Operational personnel who are wounded or affected by conditions such as strokes would benefit from VR with physical controls. Patients could reduce motor impairment by improving reaction times, physical dexterity and visuals. The combination of using joysticks or smart clothing such as gloves would complement physical control VR systems, particularly for military rehabilitation programmes.",Defence Implication,Medium,Low,
74,10,3,Physical Virtual Reality Control Interfaces,More sophisticated training simulators,2021,2023,Training of operational personnel in the military would benefit from VR systems that simulate and test users under physical conditions. Data on the success of tactical training methods can be captured and compared against individuals and other groups. Tactical training in VR systems could assess group dynamics and stress levels. This could incorporate more sophisticated multi-directional treadmills or even group equipment.,Defence Implication,Low,Medium,
75,10,4,Physical Virtual Reality Control Interfaces,Interfaces for commercial aviation and holidays,2026,2030,Users who are unable to travel could experience the benefits of travelling without having to leave their homes. VR sets could be another method for the aviation and travel industry to expand their customer base. Additional equipment would be necessary to replicate the physical motion of travelling. This might involve much smaller flight simulation devices.,Societal Adoption,Low,Low,
76,10,5,Physical Virtual Reality Control Interfaces,Workplace and remote working,2030,2035,"Users might be able to experience workplace environments, as a way to connect remote workers or to provide a new onboarding experience. This could involve adaptive physical environments, which are able to mimic different workplaces.",Societal Adoption,Medium,Low,
77,10,6,Physical Virtual Reality Control Interfaces,Data protection issues arise,2021,2025,"The ethical implications of using VR with physical controls is the protection of data. Biometrics and cognitive metrics collected may not be self apparent by the user, but could be exploited by organisations or cyber adversaries for profit. For example, it could collect information about their movement during a game which allows future identity verification measures, based on unique movements, to be circumvented.",Legal/Ethical,Medium,High,
78,10,7,Physical Virtual Reality Control Interfaces,Image quality and data storage,2021,2028,"The sheer amount of data collected by the VR sets identifies an integration concern. Advanced graphics are necessary to enhance the representation of the physical space. High bandwidth is required to ensure high-quality of image streaming. Data storage increases exponentially with each device and with any additional devices required, such as joysticks and sensors. Integrating with physical interfaces could therefore be limited by these constraints.",Integration,Medium,Medium,
79,11,0,Smart Clothing and Other Wearables,Smart patches and stickers,2021,2025,Smart patches can be used for identifying sleep disorders and for administering medication. Future examples of smart patches include administering vaccinations.,Technology Development,High,Medium,
80,11,1,Smart Clothing and Other Wearables,Smart masks and shields,2024,2027,Smart masks and shields could monitor the level and risk of infection when exposed to or in close proximity to infected individuals. Sensors on particulates in the air could record the time spent in polluted areas and could identify particulates in the air to assess the air quality as well as the risk to lung health.,Technology Development,High,Low,
81,11,2,Smart Clothing and Other Wearables,Head-mounted displays,2021,2029,"Smart glasses or mounted head displays will be able to superimpose additional information on the environment. For use in the military, this could include the degree of accuracy on a particular target and level of perceived threat.",Defence Implication,Medium,Medium,
82,11,3,Smart Clothing and Other Wearables,Military ear-worn devices widely adopted,2022,2027,Earbuds that could communicate and connect to other military personnel on the ground in real time would support operational tasks. Central military systems could also forward announcements and updated information to ground personnel. These devices would need to be small and very robust.,Defence Implication,Low,Low,
83,11,4,Smart Clothing and Other Wearables,Smart watches and wristbands extend their function,2021,2025,"Watches and wristbands could assist with information exchange, such as sharing business cards, processing payments and passport control. Identity management of users can be verified by additional PIN or passwords controls on devices, utilitising Multi-Factor Authentication (MFA). Users would have to trust devices storing Personal Identifiable Information (PII) and redundancy checks on systems would be mandatory to reduce false positive rates.",Legal/Ethical,Low,Low,
84,11,5,Smart Clothing and Other Wearables,Biometric clothing,2026,2031,"Sharing biometric information via clothing may be controversial for some. Clothing can monitor and record body metrics, including heart rate, temperature, breathing and movement. With the advancements in sensor technology and connection methods, users are able to receive the data to their smartphones, but there are additional considerations needed if garments are lost or stolen. For families with babies, devices can identify irregularities in sleeping patterns or breathing. For adults, leisurewear can update users of UV rates and air temperature, informing users to avoid sunlight. Other sportswear can update users on the intensity of their workouts and how to improve performance, for example the pronation of feet for runners.",Societal Adoption,Medium,Low,
85,11,6,Smart Clothing and Other Wearables,"Health, safety, security legislation evolves",2021,2030,Any device that shares biometric data has to be safe to wear and should be secure to ensure that data isn't stolen. Legislation is required to ensure devices are updated regularly. Manufacturers are responsible for mandating software updates via applications that collect data from sensors. This should be outlined in the terms and conditions of using the product to remove liability.,Legal/Ethical,Medium,Low,
