GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
18,18,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",19,Rapid 3D modelling,1,1,1
19,19,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",20,Haptic feedback equipment,0,0,0
20,20,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",21,Physical/tactile displays,1,1,2
21,21,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",22,Visual/light indicators,0,0,0
22,22,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",23,1D visual displays,1,1,2
23,23,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",24,3D visual displays,1,1,2
24,24,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",25,Virtual reality headsets,1,1,2
25,25,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",26,Augmented reality glasses,1,1,2
26,26,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",27,Audio indicators,1,1,1
27,27,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",28,Brain computer interface,0,0,0
28,28,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",29,Olfactory interfaces,0,0,0
29,29,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,1,Touchscreens,1,1,2
30,30,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,2,Touch-interactive large objects,1,1,1
31,31,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,3,Gesture and movement sensors,1,1,1
32,32,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,4,Handheld controllers,1,1,1
33,33,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,5,Keyboard and text input devices,1,1,2
34,34,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,6,Drawing or writing implements,1,1,2
35,35,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,7,Image recognition cameras,1,1,1
36,36,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,8,Eye tracking equipment,1,1,1
37,37,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,9,Physiological monitors,1,1,1
38,38,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,10,Physical virtual reality control interfaces,1,1,1
39,39,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,11,Smart clothing and other wearables,0,0,0
40,40,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,12,Telepresence equipment,1,1,3
41,41,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,13,Speech-based interfaces,1,1,1
42,42,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,14,Vehicle controls,0,0,0
43,43,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,15,Robot controller interfaces,0,0,0
44,44,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,16,Exoskeletons,0,0,0
45,45,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,17,Body-integrated interfaces,1,1,2
46,46,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,18,Smart home devices,0,0,0
47,47,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,19,Rapid 3D modelling,1,1,2
48,48,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,20,Haptic feedback equipment,0,0,0
49,49,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,21,Physical/tactile displays,1,1,3
50,50,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,22,Visual/light indicators,1,1,1
51,51,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,23,1D visual displays,1,1,3
52,52,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,24,3D visual displays,1,1,3
53,53,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,25,Virtual reality headsets,1,1,3
54,54,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,26,Augmented reality glasses,1,1,3
55,55,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,27,Audio indicators,1,1,2
56,56,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,28,Brain computer interface,1,1,1
57,57,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.2,Provide security support to Non-Governmental Organisations (NGOs) and states.,Security support,29,Olfactory interfaces,1,1,1
58,58,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,1,Touchscreens,1,1,1
59,59,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,2,Touch-interactive large objects,1,1,1
60,60,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,3,Gesture and movement sensors,1,1,1
61,61,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,4,Handheld controllers,1,1,1
62,62,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,5,Keyboard and text input devices,1,1,2
63,63,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,6,Drawing or writing implements,1,1,2
64,64,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,7,Image recognition cameras,0,0,0
65,65,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,8,Eye tracking equipment,0,0,0
66,66,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,9,Physiological monitors,0,0,0
67,67,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,10,Physical virtual reality control interfaces,1,1,1
68,68,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,11,Smart clothing and other wearables,0,0,0
69,69,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,12,Telepresence equipment,1,1,2
70,70,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,13,Speech-based interfaces,1,1,1
71,71,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,14,Vehicle controls,0,0,0
72,72,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,15,Robot controller interfaces,0,0,0
73,73,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,16,Exoskeletons,0,0,0
74,74,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,17,Body-integrated interfaces,1,1,1
75,75,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,18,Smart home devices,0,0,0
76,76,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,19,Rapid 3D modelling,1,1,1
77,77,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,20,Haptic feedback equipment,0,0,0
78,78,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,21,Physical/tactile displays,1,1,2
79,79,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,22,Visual/light indicators,0,0,0
80,80,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,23,1D visual displays,1,1,2
81,81,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,24,3D visual displays,1,1,2
82,82,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,25,Virtual reality headsets,1,1,2
83,83,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,26,Augmented reality glasses,1,1,2
84,84,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,27,Audio indicators,1,1,1
85,85,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,28,Brain computer interface,1,1,1
86,86,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.3,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide heavy lift to NGOs,29,Olfactory interfaces,1,1,1
87,87,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,1,Touchscreens,0,0,0
88,88,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,2,Touch-interactive large objects,0,0,0
89,89,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,3,Gesture and movement sensors,1,1,1
90,90,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,4,Handheld controllers,0,0,0
91,91,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,5,Keyboard and text input devices,1,1,1
92,92,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,6,Drawing or writing implements,1,1,1
93,93,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,7,Image recognition cameras,0,0,0
94,94,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,8,Eye tracking equipment,0,0,0
95,95,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,9,Physiological monitors,0,0,0
96,96,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,10,Physical virtual reality control interfaces,0,0,0
97,97,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,11,Smart clothing and other wearables,0,0,0
98,98,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,12,Telepresence equipment,1,1,1
99,99,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,13,Speech-based interfaces,1,1,1
100,100,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,14,Vehicle controls,0,0,0
101,101,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,15,Robot controller interfaces,0,0,0
102,102,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,16,Exoskeletons,0,0,0
103,103,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,17,Body-integrated interfaces,1,1,1
104,104,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,18,Smart home devices,0,0,0
105,105,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,19,Rapid 3D modelling,0,0,0
106,106,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,20,Haptic feedback equipment,0,0,0
107,107,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,21,Physical/tactile displays,1,1,1
108,108,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,22,Visual/light indicators,0,0,0
109,109,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,23,1D visual displays,1,1,1
110,110,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,24,3D visual displays,1,1,1
111,111,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,25,Virtual reality headsets,1,1,1
112,112,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,26,Augmented reality glasses,1,1,1
113,113,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,27,Audio indicators,1,1,1
114,114,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,28,Brain computer interface,0,0,0
115,115,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.4,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Cooperation with city authorities,29,Olfactory interfaces,1,1,1
116,116,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,1,Touchscreens,1,1,2
117,117,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,2,Touch-interactive large objects,1,1,2
118,118,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,3,Gesture and movement sensors,1,1,1
119,119,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,4,Handheld controllers,1,1,1
120,120,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,5,Keyboard and text input devices,1,1,2
121,121,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,6,Drawing or writing implements,1,1,3
122,122,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,7,Image recognition cameras,1,1,1
123,123,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,8,Eye tracking equipment,1,1,1
