Cognitive Challenge Family Name,Individual Cognitive Challenge Short Name,Individual Cognitive Challenge Long Name,Technology Name,Linked 0/1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,3D visual displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Virtual reality headsets,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Augmented reality glasses,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Audio indicators,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Touchscreens,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Touch-interactive large objects,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Handheld controllers,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Keyboard and text input devices,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Drawing or writing implements,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Image recognition cameras,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Eye tracking equipment,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Physiological monitors,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Smart clothing and other wearables,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Telepresence equipment,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Speech-based interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Vehicle controls,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Robot Controller Interfaces,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Exoskeletons,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Smart home devices,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Haptic feedback equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Physical/tactile displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Visual/light indicators,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,2D visual displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,3D visual displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Virtual reality headsets,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Augmented reality glasses,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Audio indicators,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Touchscreens,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Touch-interactive large objects,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Handheld controllers,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Keyboard and text input devices,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Drawing or writing implements,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Image recognition cameras,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Eye tracking equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Physiological monitors,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Smart clothing and other wearables,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Telepresence equipment,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Speech-based interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Vehicle controls,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Robot Controller Interfaces,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Exoskeletons,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Smart home devices,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Haptic feedback equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Physical/tactile displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Visual/light indicators,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,2D visual displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,3D visual displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Virtual reality headsets,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Augmented reality glasses,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Security support,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Audio indicators,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Touchscreens,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Touch-interactive large objects,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Gesture and movement sensors,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Handheld controllers,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Keyboard and text input devices,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Drawing or writing implements,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Image recognition cameras,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Eye tracking equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Physiological monitors,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Physical virtual reality control interfaces,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Smart clothing and other wearables,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Telepresence equipment,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Speech-based interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Vehicle controls,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Robot Controller Interfaces,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Exoskeletons,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Body-integrated interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Smart home devices,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Rapid 3D modelling,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Haptic feedback equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Physical/tactile displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Visual/light indicators,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",2D visual displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",3D visual displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Virtual reality headsets,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Augmented reality glasses,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.",Audio indicators,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Touchscreens,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Touch-interactive large objects,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Gesture and movement sensors,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Handheld controllers,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Keyboard and text input devices,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Drawing or writing implements,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Image recognition cameras,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Eye tracking equipment,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Physiological monitors,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Smart clothing and other wearables,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Telepresence equipment,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Speech-based interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Vehicle controls,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Robot Controller Interfaces,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Exoskeletons,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Body-integrated interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Smart home devices,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Rapid 3D modelling,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Haptic feedback equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Physical/tactile displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Visual/light indicators,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",2D visual displays,1,,,,,,,,,,,,,,,
